Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
AUDI,AUDI E-TRON,7_51,5858.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI Q2,7_18,14817.0,15487.0,14253.0,11645.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI Q3,7_19,12674.0,13987.0,12550.0,15598.0,16640.0,14277.0,13855.0,12025.0,6833.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI Q5,7_20,8364.0,12148.0,11504.0,9167.0,9620.0,8950.0,7582.0,5796.0,4881.0,5819.0,3913.0,4111.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI Q7,7_21,3927.0,4606.0,4092.0,4309.0,4827.0,3282.0,3319.0,3382.0,2423.0,1883.0,1607.0,1354.0,2717.0,3952.0,1693.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI Q8,7_49,933.0,1813.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI QUATTRO,7_22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,32.0,387.0,92.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,6.0
AUDI,AUDI R8,7_23,121.0,131.0,254.0,298.0,331.0,192.0,210.0,203.0,132.0,243.0,291.0,261.0,493.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI RIO,7_35,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,84.0,163.0,465.0,602.0,367.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AUDI,AUDI RS3,7_25,312.0,837.0,1145.0,782.0,1107.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
